realization_id,split,seed,samples,mean_W,std_W,max_W,zero_fraction,Hs_m,Te_s,Tp_s,omega0_over_omegap,zeta,channel_length_m,capture_width_m,rated_power_W
Hs0.060_Te1.40_r1.00_seed100,validation,100,6000,11.660395622253418,21.612201690673828,80.0,0.5008333333333334,0.05999999865889549,1.399999976158142,1.5399999618530273,1.0,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.00_seed101,validation,101,6000,11.419868469238281,21.312305450439453,80.0,0.5016666666666667,0.05999999865889549,1.399999976158142,1.5399999618530273,1.0,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.00_seed102,validation,102,6000,11.623763084411621,21.186054229736328,80.0,0.5028333333333334,0.05999999865889549,1.399999976158142,1.5399999618530273,1.0,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.00_seed103,validation,103,6000,11.429384231567383,21.743247985839844,80.0,0.5015,0.05999999865889549,1.399999976158142,1.5399999618530273,1.0,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.00_seed1100,train,1100,6000,5.259438991546631,11.266921043395996,80.0,0.5,0.05999999865889549,1.399999976158142,1.5399999618530273,1.0,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.00_seed1101,train,1101,6000,5.20054292678833,11.720003128051758,80.0,0.5003333333333333,0.05999999865889549,1.399999976158142,1.5399999618530273,1.0,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.00_seed1102,train,1102,6000,5.265213966369629,11.235926628112793,80.0,0.4975,0.05999999865889549,1.399999976158142,1.5399999618530273,1.0,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.00_seed1103,train,1103,6000,5.200608730316162,11.479470252990723,80.0,0.5006666666666667,0.05999999865889549,1.399999976158142,1.5399999618530273,1.0,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.60_seed2100,test,2100,6000,14.355207443237305,24.89533233642578,80.0,0.49916666666666665,0.05999999865889549,1.399999976158142,1.5399999618530273,1.600000023841858,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.60_seed2101,test,2101,6000,13.838752746582031,24.30738067626953,80.0,0.5045,0.05999999865889549,1.399999976158142,1.5399999618530273,1.600000023841858,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.60_seed2102,test,2102,6000,14.017179489135742,24.51268768310547,80.0,0.49983333333333335,0.05999999865889549,1.399999976158142,1.5399999618530273,1.600000023841858,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.60_seed2103,test,2103,6000,13.988619804382324,24.399703979492188,80.0,0.496,0.05999999865889549,1.399999976158142,1.5399999618530273,1.600000023841858,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.60_seed3100,validation,3100,6000,8.090516090393066,16.80731964111328,80.0,0.5088333333333334,0.05999999865889549,1.399999976158142,1.5399999618530273,1.600000023841858,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.60_seed3101,validation,3101,6000,8.150089263916016,16.764816284179688,80.0,0.49583333333333335,0.05999999865889549,1.399999976158142,1.5399999618530273,1.600000023841858,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.60_seed3102,validation,3102,6000,8.138526916503906,16.89988899230957,80.0,0.49416666666666664,0.05999999865889549,1.399999976158142,1.5399999618530273,1.600000023841858,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.40_r1.60_seed3103,validation,3103,6000,8.254144668579102,16.52596092224121,80.0,0.496,0.05999999865889549,1.399999976158142,1.5399999618530273,1.600000023841858,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
