RMSE_rank,model,runs,RMSE_W_mean,RMSE_W_SD,MAE_W_mean,R2_NSE_mean,ramp_MAE_W_mean
1,pctcn,1,22.929918396003973,,11.1804007822133,0.0814588383241002,8.434630274781183
2,ridge_AR156,1,22.99563417979168,,15.997798741678093,0.0761862898617465,9.423152713628092
3,tcn,1,23.339169687857645,,11.266900341355392,0.0483781449768446,8.405266256252121
4,gru,1,23.42141496989869,,11.32783641522111,0.041659456090376,8.479191411966816
5,rnn,1,23.860159650233275,,11.528447524732403,0.0054186874951628,8.452112217669379
6,cnn_rnn,1,24.05334854456984,,11.61184802761852,-0.0107521954001372,8.47374366881507
7,climatology,1,24.10675090523264,,16.42792837936266,-0.0152452859004756,8.694663403891987
8,persistence,1,32.977297833003924,,20.11117258833569,-0.8998694270108252,8.694663403891987
