model,MAE_W,RMSE_W,R2_NSE,amplitude_ratio,peak_precision,peak_recall,ramp_MAE_W
persistence,20.111172588335695,32.977297833003924,-0.8998694270108252,1.0010982084987172,0.18685440236104278,0.18806856859954205,8.694663403891987
climatology,16.42792837936266,24.106750905232637,-0.015245285900475691,2.2274003195906633e-16,0.0,0.0,8.694663403891987
ridge_AR156,15.997798741678091,22.99563417979168,0.07618628986174658,0.3787858438055867,0.6518944519621109,0.05962621449347113,9.423152713628092
