model,seed,horizon_step,seconds_ahead,MAE_W,RMSE_W
rnn,42,15,1.5,13.04409368467584,26.63644085391366
rnn,42,16,1.6,13.033083702059788,26.506188877522952
gru,42,1,0.1,4.172573467923637,10.130093509372394
gru,42,2,0.2,7.863268202081748,16.648631488520927
gru,42,3,0.3,9.838963257990075,19.69673689425558
gru,42,4,0.4,10.629868625556243,20.857730386158387
gru,42,5,0.5,11.331952653870298,22.15220590935796
gru,42,6,0.6,11.638777874383043,22.722302522573337
gru,42,7,0.7,11.934821611450937,23.642535372113937
gru,42,8,0.8,12.22641336928073,24.385080506180255
gru,42,9,0.9,12.310662933075717,24.90220893351956
gru,42,10,1.0,12.289729059901546,25.180845684275067
gru,42,11,1.1,12.37988432329488,25.44864788492754
gru,42,12,1.2,12.73716351952243,26.16705377553575
gru,42,13,1.3,12.863112140057787,26.398358193522146
gru,42,14,1.4,13.083618110976147,26.810412361210506
gru,42,15,1.5,12.98149659857903,26.6377991594275
gru,42,16,1.6,12.963076915064217,26.491293685365992
cnn_rnn,42,1,0.1,4.288553804372382,10.46101549375514
cnn_rnn,42,2,0.2,8.335412322296444,17.698292142254857
cnn_rnn,42,3,0.3,10.459268824179254,21.139399185759576
cnn_rnn,42,4,0.4,11.233518583469387,22.264917682184922
cnn_rnn,42,5,0.5,11.868433800185167,23.279671399531075
cnn_rnn,42,6,0.6,12.170934349149189,23.85819397243951
cnn_rnn,42,7,0.7,12.359670886644237,24.75169001058577
cnn_rnn,42,8,0.8,12.555747695075404,25.48404407778413
cnn_rnn,42,9,0.9,12.581655833137747,25.74932575067738
cnn_rnn,42,10,1.0,12.452948390143138,25.615424881761445
cnn_rnn,42,11,1.1,12.521456804772436,25.7547629354453
cnn_rnn,42,12,1.2,12.856030160940856,26.39286970699726
cnn_rnn,42,13,1.3,12.955149838782637,26.521770319663837
cnn_rnn,42,14,1.4,13.122972336373257,26.863281077110845
cnn_rnn,42,15,1.5,13.019595899981713,26.66141260200479
cnn_rnn,42,16,1.6,13.008218907297021,26.524981517144525
persistence,42,1,0.1,8.864836123698616,18.408433184282508
persistence,42,2,0.2,16.675707072882112,29.376496337671508
persistence,42,3,0.3,22.17095084907114,35.45171663573101
persistence,42,4,0.4,24.778380098046576,37.77234577865155
persistence,42,5,0.5,25.368163326636825,38.109954266857024
persistence,42,6,0.6,24.1849528306857,36.79316884515525
persistence,42,7,0.7,22.239374548386092,35.010251994325934
persistence,42,8,0.8,20.376717209543713,32.994472395039246
persistence,42,9,0.9,19.241760901814803,31.773423842320273
persistence,42,10,1.0,18.801837510037124,31.286705285974655
persistence,42,11,1.1,19.318700494177456,31.92943124083022
persistence,42,12,1.2,19.943917521709242,32.73833312982187
persistence,42,13,1.3,20.094206538240883,32.96373699672055
persistence,42,14,1.4,19.975277138060466,32.94244833095422
persistence,42,15,1.5,19.866453718743845,32.70185500210698
persistence,42,16,1.6,19.877525531636497,32.760235713755705
climatology,42,1,0.1,16.24013517870229,23.795261767811617
climatology,42,2,0.2,16.393208458677336,24.033456540014395
climatology,42,3,0.3,16.546372859812912,24.28801096848135
climatology,42,4,0.4,16.57836134954946,24.321848086118436
climatology,42,5,0.5,16.538712108308562,24.234864150571024
climatology,42,6,0.6,16.27600525872109,23.848440376876994
climatology,42,7,0.7,16.373338400340913,24.139369847053178
climatology,42,8,0.8,16.55424284732985,24.326109767616504
climatology,42,9,0.9,16.46776800327278,24.199471468265234
climatology,42,10,1.0,16.22933871248089,23.81896350432509
climatology,42,11,1.1,16.202899152449895,23.74896205869842
climatology,42,12,1.2,16.485351464080523,24.198141679489716
climatology,42,13,1.3,16.53713142049825,24.24917799093716
climatology,42,14,1.4,16.669596383991895,24.474633922304612
climatology,42,15,1.5,16.489277024783426,24.144986515730277
climatology,42,16,1.6,16.26511339804456,23.87066845908099
ridge_AR156,42,1,0.1,7.789271197706035,14.15801272415502
ridge_AR156,42,2,0.2,13.786279969764445,21.043917219068653
ridge_AR156,42,3,0.3,16.00761843704149,23.023018972980918
ridge_AR156,42,4,0.4,15.99130231352385,22.91031675178398
ridge_AR156,42,5,0.5,16.074987401187176,22.939950030263663
ridge_AR156,42,6,0.6,16.08645982454741,22.941372792082248
ridge_AR156,42,7,0.7,16.599583446308106,23.631002934372344
ridge_AR156,42,8,0.8,17.039720397672085,24.019583537212323
ridge_AR156,42,9,0.9,17.00993856936341,23.887732024980288
ridge_AR156,42,10,1.0,16.747183602460414,23.507017017138466
ridge_AR156,42,11,1.1,16.766217702243104,23.49410748745243
ridge_AR156,42,12,1.2,17.15629185746834,24.01097747055492
ridge_AR156,42,13,1.3,17.287753182946236,24.167054536848966
ridge_AR156,42,14,1.4,17.423542551858905,24.362393115382144
ridge_AR156,42,15,1.5,17.247076582165665,24.066222472407333
ridge_AR156,42,16,1.6,16.951552832357258,23.794477922767044
