Te_error_pct,seconds_ahead,R2_NSE,RMSE_W
0,0.1,0.8261168337958078,9.856205716967255
0,0.2,0.5255764302936514,16.432028011853696
0,0.3,0.34975746085967074,19.427904105538463
0,0.4,0.29047296225663055,20.318193023303774
0,0.5,0.21378206006191902,21.3172923087147
0,0.6,0.11523025731564285,22.2621128541588
0,0.7,0.08297665764130213,22.945067023739643
0,0.8,0.057081372418813725,23.437368068485707
0,0.9,0.005324977821335453,23.96102366172898
0,1.0,-0.06701616338198813,24.449917822940755
0,1.1,-0.11004008089554707,24.86373036489958
0,1.2,-0.1499022170348312,25.74590691750933
0,1.3,-0.1727086375953537,26.043564178360192
0,1.4,-0.19466769990136634,26.520599784405388
0,1.5,-0.21708581882448397,26.429233926384583
0,1.6,-0.24005622660047732,26.38474970630006
-20,0.1,0.8136068203556139,10.20460028685819
-20,0.2,0.45632974607225874,17.590404406315706
-20,0.3,0.2455349873680721,20.927040491214466
-20,0.4,0.1553712032016319,22.168359162462473
-20,0.5,0.0933706853696723,22.891562881022747
-20,0.6,0.007241650991128945,23.581586671208864
-20,0.7,-0.037810902340639,24.409464377862193
-20,0.8,-0.06420755800442435,24.899171822567638
-20,0.9,-0.11471059882126688,25.36564015514244
-20,1.0,-0.19552253260826946,25.88038827363295
-20,1.1,-0.23534712975766459,26.229587607642355
-20,1.2,-0.26650015886189315,27.01969008731091
-20,1.3,-0.279671811582499,27.205371382407485
-20,1.4,-0.28901824742512505,27.54795173833175
-20,1.5,-0.2964666400025733,27.277505181732256
-20,1.6,-0.31167979239989196,27.136023329160547
-10,0.1,0.8237913038794499,9.921895724252684
-10,0.2,0.5143765360764923,16.62485512287003
-10,0.3,0.33455089881013056,19.653761595520038
-10,0.4,0.26329730795134565,20.703641334052694
-10,0.5,0.1913410839461629,21.619381010063545
-10,0.6,0.09167588987001207,22.556497770700194
-10,0.7,0.05052750761245728,23.347497034158174
-10,0.8,0.029060091339797478,23.783069710834646
-10,0.9,-0.01947822739828342,24.257930053957764
-10,1.0,-0.09482958162589217,24.766530214669167
-10,1.1,-0.13951387902462709,25.191658875266224
-10,1.2,-0.17775624046230787,26.0558620443031
-10,1.3,-0.1950795607861726,26.29079788853981
-10,1.4,-0.21358801258154325,26.72978218545151
-10,1.5,-0.2368251359759379,26.642693291798608
-10,1.6,-0.26254412278702977,26.622912958964225
10,0.1,0.8220176394340283,9.971706122946031
10,0.2,0.509315546266861,16.711259661639495
10,0.3,0.3184374557188363,19.890290220762648
10,0.4,0.25105510535753706,20.87495458509572
10,0.5,0.16807061558025882,21.92824111181307
10,0.6,0.08238643140543067,22.671547361447796
10,0.7,0.05579419726794477,23.282653125607027
10,0.8,0.025107020015154302,23.831435562481527
10,0.9,-0.022980288753766454,24.299559156856496
10,1.0,-0.09032050746982656,24.71547690759157
10,1.1,-0.13032971270909477,25.089934595934768
10,1.2,-0.17354931279879549,26.009284839201374
10,1.3,-0.20407907580082996,26.38960330349406
10,1.4,-0.2230520549797741,26.833804518128133
10,1.5,-0.23755552323139795,26.650558838447825
10,1.6,-0.2508360612286067,26.499183140986275
20,0.1,0.8087148276676925,10.337645683746779
20,0.2,0.47266779636045486,17.324080182857127
20,0.3,0.25776647632458205,20.756711313143793
20,0.4,0.16741298764050572,22.00976588200467
20,0.5,0.0923880918209995,22.903964317038255
20,0.6,0.025685262066453496,23.36150862034977
20,0.7,-0.007961276969988162,24.055869515267318
20,0.8,-0.043532167487265516,24.656115350769074
20,0.9,-0.08842607075526199,25.064799202183462
20,1.0,-0.14890746437130753,25.370815680746052
20,1.1,-0.18678943662686343,25.70891765737752
20,1.2,-0.22396954979087424,26.56213904896284
20,1.3,-0.25156319032729324,26.90492265832099
20,1.4,-0.26082570228877966,27.245031072378325
20,1.5,-0.26825617641937893,26.9791005570239
20,1.6,-0.2760016665707312,26.764424584124853
